"EPA Registration Number","Active Ingredient(s)","Product Name","Company","To kill SARS-CoV-2 (COVID-19), follow disinfection directions for the following virus(es)","Contact Time (in minutes)","Formulation Type","Surface Types","Use Sites","Emerging Viral Pathogen Claim?","Date Added to List N"
"85837-4","Hydrogen peroxide","Proxi Home General Disinfectant Cleaner Spray","Innovasource LLC","Rhinovirus","10","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","04/02/2020"
"498-179","Quaternary ammonium; Ethanol (Ethyl alcohol)","Champion Sprayon Spray Disinfectant Formula 3","Chase Products Co","Rhinovirus","10","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","04/02/2020"
"1839-236","Quaternary ammonium","SC-5:128N","Stepan Company","Rotavirus","5","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","04/02/2020"
"70385-6","Quaternary ammonium","QGC","Prorestore Products","Feline calicivirus","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","04/02/2020"
"1043-87","Phenolic","Vesphene II se","Steris Corporation","Adenovirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","Yes","03/26/2020"
"1043-91","Phenolic","LpH®","Steris Corporation","Adenovirus","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Institutional","Yes","03/26/2020"
"1839-100","Quaternary ammonium","Veterinarian Type Disinfectant","Stepan Company","Feline calicivirus; Norovirus","10","Dilutable","Hard Nonporous (HN)","Residential","Yes","03/26/2020"
"1839-95","Quaternary ammonium","NP 4.5 (D&F) Detergent/disinfectant","Stepan Company","Norovirus","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","03/26/2020"
"4091-20","Quaternary ammonium","Phoenix 2","W.M. Barr & Company Inc","Rotavirus; Feline calicivirus; Rhinovirus","5","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/26/2020"
"44446-67","Phenolic; Ethanol (Ethyl alcohol)","Concept Hospital Disinfectant Deodorant","Quest Specialty Corp","Adenovirus; Canine hepatitis virus","10","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/26/2020"
"45745-11","Hydrogen peroxide","HP2O2","Midlab","Rotavirus; Norovirus; Rhinovirus","5","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional","Yes","03/26/2020"
"56392-8","Sodium hypochlorite","Dispatch","Clorox Professional Products Company","Adenovirus","1","Wipe","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","03/26/2020"
"65402-9","Peroxyacetic acid (Peracetic acid); Hydrogen peroxide","VigorOx 15/10 Antimicrobial Agent","PeroxyChem LLC","Feline calicivirus","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","Yes","03/26/2020"
"67619-40","Sodium hypochlorite","Clorox Healthcare Spore10 Defense Cleaner Disinfectant","Clorox Professional Products Company","Murine norovirus","1","Ready-to-use; Electrostatic spray (Clorox® Total 360® system)","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","03/26/2020"
"70060-19","Sodium chlorite; Sodium dichloroisocyanurate dihydrate","Aseptrol S10-Tab","BASF Corporation","Feline calicivirus","10","Solid","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional","Yes","03/26/2020"
"70144-4","Quaternary ammonium; Ethanol (Ethyl alcohol)","Opti-cide Max Wipes","Micro-Scientific LLC","Rotavirus","1","Wipe","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","03/26/2020"
"70271-13","Sodium hypochlorite","Pure Bright Germicidal Ultra Bleach","KIK International LLC","Adenovirus; Rotavirus; Canine parvovirus; Feline panleukopenia virus; Hepatitis A virus; Norovirus; Poliovirus; Rhinovirus","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/26/2020"
"70271-31","Sodium hypochlorite","Nova","KIK International LLC","Rhinovirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/26/2020"
"777-131","Hypochlorous acid","Cousteau","Reckitt Benckiser LLC","Rhinovirus","10","Ready-to-use","Hard Nonporous (HN); Food Contact No Rinse (FCNR)","Healthcare; Institutional; Residential","Yes","03/26/2020"
"82972-1","Chlorine dioxide; Quaternary ammonium","Vital Oxide","Vital Solutions LLC","Adenovirus; Canine parvovirus","10","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/26/2020"
"84198-1","Hydrogen peroxide","Peroxy HDOX","Earth Laboratories Inc","Norovirus","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","Yes","03/26/2020"
"84683-4","Thymol","Benefect Botanical Daily Cleaner Disinfectant Towelette","Cleanwell LLC","Rhinovirus","10","Wipe","Hard Nonporous (HN); Food Contact No Rinse (FCNR)","Healthcare; Institutional; Residential","Yes","03/26/2020"
"89833-3","Quaternary ammonium","D7 Part 1","Decon7 Systems LLC","Norovirus","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","03/26/2020"
"89900-2","Quaternary ammonium","Scrubbing Bubbles® Disinfectant Restroom Cleaner II","S.C. Johnson Professional","Rotavirus","5","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Institutional; Residential","Yes","03/26/2020"
"89900-3","Quaternary ammonium","Fantastik® Multi-Surface Disinfectant Degreaser","S.C. Johnson Professional","Rotavirus","5","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Institutional; Residential","Yes","03/26/2020"
"91399-2","Sodium chlorite","Biotab7","Advanced Biocide Technologies Inc","Feline calicivirus; Norovirus","1","Dilutable","Hard Nonporous (HN); Food Contact No Rinse (FCNR)","Healthcare; Institutional; Residential","Yes","03/26/2020"
"92108-1","Hypochlorous acid","Excelyte Vet","PCT LTD","Norovirus","10","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/26/2020"
"92987-1","Sodium chlorite; Citric acid","Tristel Duo for Surfaces","Tristel Solutions LTD","Adenovirus; Feline calicivirus; Poliovirus","0.5 (30 seconds)","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional","Yes","03/26/2020"
"93040-1","Sodium chloride","Force of Nature Activator Capsule","HCl Cleaning Products LLC","Feline calicivirus","10","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","03/26/2020"
"1130-15","Quaternary ammonium; Isopropanol (Isopropyl alcohol)","Weiman Germicidal Solution","Weiman Products LLC","Rotavirus","3","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","03/19/2020"
"1677-233","Quaternary ammonium","Multi-Purpose Disinfectant Cleaner","Ecolab Inc","Feline calicivirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/19/2020"
"5813-120","Sodium hypochlorite","CRB","The Clorox Company","Canine parvovirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/19/2020"
"675-55","Citric acid","Lysol® Bathroom Cleaner","Reckitt Benckiser LLC","Poliovirus","5","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","03/19/2020"
"70144-1","Quaternary ammonium; Isopropanol (Isopropyl alcohol)","Opti-Cide 3®","Micro-Scientific LLC","Rotavirus; Rhinovirus Type 14","2","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/19/2020"
"706-111","Quaternary ammonium","Claire Disinfectant Spray Q","Claire Manufacturing Company","Poliovirus","5","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","03/19/2020"
"84526-6","Hydrogen peroxide; Silver","Halomist","Halosil International Inc","Feline calicivirus; Minute virus of men","10","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional","Yes","03/19/2020"
"85134-1","Hypochlorous acid","Envirocleanse A","Envirocleanse LLC","Norovirus","10","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/19/2020"
"87518-6","Sodium hypochlorite","Sporex","HSP USA LLC","Norovirus; Canine parvovirus","1","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","03/19/2020"
"90150-2","Hydrogen peroxide","Binary Ionization Technology (BIT) Solution","Tomi Environmental Solutions Inc","Feline calicivirus","15","Fog; Mist","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","03/19/2020"
"91582-1","Hypochlorous acid","Danolyte","Danolyte Global Inc","Adenovirus; Rhinovirus","10","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","03/19/2020"
"9480-4","Quaternary ammonium; Isopropanol (Isopropyl alcohol)","Super Sani-Cloth Germicidal Disposable Wipe","Professional Disposables International Inc","Rhinovirus 39; Adenovirus","2","Wipe","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional","Yes","03/19/2020"
"9480-8","Sodium hypochlorite","Sani-Cloth Bleach Germicidal Disposable Wipe","Professional Disposables International Inc","Adenovirus; Rotavirus; Canine parvovirus; Hepatitis A virus; Poliovirus Type 1; Rhinovirus Type 37; Feline calicivirus","1","Wipe","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional","Yes","03/19/2020"
"9480-9","Quaternary ammonium","AF3 Germicidal Disposable Wipe","Professional Disposables International Inc","Rotavirus; Adenovirus","3","Wipe","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/19/2020"
"5813-58","Quaternary ammonium","Spruce-ups","The Clorox Company","Rotavirus","0.25 (15 seconds)","Wipe","Hard Nonporous (HN)","Institutional; Residential","Yes","03/13/2020"
"10324-117","Quaternary ammonium","Maquat 710-M","Mason Chemical Company","Norovirus; Feline calicivirus","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR); Porous (P) (laundry presoak only)","Healthcare; Institutional; Residential","Yes","06/08/2020"
"10324-85","Quaternary ammonium","Maquat 86-M","Mason Chemical Company","Hepatitis A virus; Porcine rotavirus","10","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","06/08/2020"
"10492-4","Quaternary ammonium; Isopropanol (Isopropyl alcohol)","Discide Ultra Disinfecting Towelettes","Palmero Healthcare LLC","Adenovirus Type 2","1","Wipe","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","06/11/2020"
"1677-250","Hydrogen peroxide; Peroxyoctanoic acid; Peroxyacetic acid (Peracetic acid)","Synergex","Ecolab Inc","Reovirus","5","Dilutable","Hard Nonporous (HN)","Institutional","Yes","03/13/2020"
"1839-169","Quaternary ammonium","BTC 885 Neutral Disinfectant Cleaner-64","Stepan Company","Rotavirus","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","06/08/2020"
"37549-1","Sodium hypochlorite","Micro-kill Bleach Germicidal Bleach Wipes","Medline Industries Inc","Norovirus","0.5 (30 seconds)","Wipe","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/13/2020"
"37549-2","Sodium hypochlorite","Micro-kill Bleach Solution","Medline Industries Inc","Norovirus","0.5 (30 seconds)","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","03/13/2020"
"44446-23","Quaternary ammonium","Germ Away","Quest Specialty Corp","Canine parvovirus","10","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/13/2020"
"46781-12","Quaternary ammonium; Ethanol (Ethyl alcohol); Isopropanol (Isopropyl alcohol)","Cavicide 1","Metrex Research","Adenovirus; Rotavirus; Feline calicivirus","3","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/13/2020"
"46781-13","Quaternary ammonium; Ethanol (Ethyl alcohol); Isopropanol (Isopropyl alcohol)","Caviwipes 1","Metrex Research","Adenovirus","3","Wipe","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/13/2020"
"46781-14","Sodium hypochlorite","Caviwipes Bleach","Metrex Research","Feline calicivirus","3","Wipe","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","03/13/2020"
"46781-15","Sodium hypochlorite","Cavicide Bleach","Metrex Research","Poliovirus; Rhinovirus","3","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/13/2020"
"5813-100","Sodium hypochlorite","Puma","The Clorox Company","Canine parvovirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/13/2020"
"5813-102","Sodium hypochlorite","CGB1","The Clorox Company","Canine parvovirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/13/2020"
"5813-109","Quaternary ammonium","Say Q","The Clorox Company","Rotavirus","10","Ready-to-use","Hard Nonporous (HN)","Institutional; Residential","Yes","03/13/2020"
"5813-113","Quaternary ammonium","CDW","The Clorox Company","Rotavirus","4","Wipe","Hard Nonporous (HN)","Institutional; Residential","Yes","03/13/2020"
"5813-118","Quaternary ammonium","Dash","The Clorox Company","Rotavirus","10","Ready-to-use","Hard Nonporous (HN)","Residential","Yes","03/13/2020"
"6659-3","Quaternary ammonium","Spray Nine","ITW Permatex Inc","Norovirus; Rhinovirus; Poliovirus","0.5 (30 seconds)","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","03/13/2020"
"74559-10","Hydrogen peroxide","Oxy-1 Wipes","Virox Technologies Inc","Poliovirus","0.5 (30 seconds)","Wipe","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/13/2020"
"67619-20","Quaternary ammonium","Rex","Clorox Professional Products Company","Hepatitis A virus","10","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","03/13/2020"
"67619-26","Sodium hypochlorite","Boris","Clorox Professional Products Company","Canine parvovirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/13/2020"
"67619-35","Peroxyacetic acid (Peracetic acid); Hydrogen peroxide","Blacksmith","Clorox Professional Products Company","Rhinovirus","1","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional","Yes","03/13/2020"
"67619-41","Quaternary ammonium","PPD Dash","Clorox Professional Products Company","Rotavirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/13/2020"
"67619-9","Quaternary ammonium","PJW-622","Clorox Professional Products Company","Rotavirus","3","Wipe","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/13/2020"
"6836-136","Quaternary ammonium","Lonza Formulation S-18F","Lonza LLC","Feline calicivirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/13/2020"
"6836-139","Quaternary ammonium","Lonza Formulation R-82F","Lonza LLC","Feline calicivirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/13/2020"
"6836-277","Quaternary ammonium","BARDAC 205M-1.30","Lonza LLC","Norovirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/13/2020"
"6836-303","Quaternary ammonium","BARDAC 205M-5.2","Lonza LLC","Norovirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/13/2020"
"6836-346","Quaternary ammonium","Lonzagard RCS-256","Lonza LLC","Norovirus","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/13/2020"
"6836-347","Quaternary ammonium","Lonzagard RCS-128","Lonza LLC","Feline calicivirus; Enterovirus","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/13/2020"
"6836-348","Quaternary ammonium","Lonzagard RCS-128 PLUS","Lonza LLC","Feline calicivirus; Enterovirus","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/13/2020"
"6836-362","Quaternary ammonium","Nugen MB5A-128","Lonza LLC","Norovirus","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/13/2020"
"6836-363","Quaternary ammonium","Nugen MB5A-64","Lonza LLC","Norovirus","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/13/2020"
"6836-366","Quaternary ammonium","Nugen MB5N-64","Lonza LLC","Norovirus","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/13/2020"
"74559-1","Hydrogen peroxide","Accel TB","Virox Technologies Inc","Poliovirus; Feline calicivirus","1","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/13/2020"
"74559-9","Hydrogen peroxide","Oxy-1 RTU","Virox Technologies Inc","Poliovirus","0.5 (30 seconds)","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/13/2020"
"74559-3","Hydrogen peroxide","Accel TB Wipes","Virox Technologies Inc","Poliovirus","1","Wipe","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/13/2020"
"74559-4","Hydrogen peroxide","Accel (Concentrate) Disinfectant Cleaner","Virox Technologies Inc","Poliovirus","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/13/2020"
"777-114","Quaternary ammonium","Lysol® Disinfecting Wipes (All Scents)","Reckitt Benckiser LLC","Rotavirus","10","Wipe","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","03/13/2020"
"83614-1","Quaternary ammonium","Byotrol 24","Byotrol Inc","Feline calicivirus","5","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/13/2020"
"84150-2","Ethanol (Ethyl alcohol)","Mitersaw","GOJO Industries Inc","Feline calicivirus","5","Wipe","Hard Nonporous (HN)","Institutional; Residential","Yes","03/13/2020"
"87742-1","Thymol","Thymox Disinfectant Spray","Laboratorie M2","Norovirus","4","Ready-to-use","Hard Nonporous (HN); Food Contact No Rinse (FCNR)","Healthcare; Institutional; Residential","Yes","03/13/2020"
"777-70","Quaternary ammonium","Lysol® Brand Cling & Fresh Toilet Bowl Cleaner","Reckitt Benckiser LLC","Rotavirus","0.5 (30 seconds)","Ready-to-use","Hard Nonporous (HN)","Institutional; Residential","Yes","03/03/2020"
"1677-129","Hydrogen peroxide; Peroxyacetic acid (Peracetic acid)","Oxonia Active","Ecolab Inc","Poliovirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","Yes","03/03/2020"
"1677-226","Hydrogen peroxide; Octanoic acid; Peroxyacetic acid (Peracetic acid)","Virasept","Ecolab Inc","Norovirus; Rhinovirus","4","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional","Yes","03/03/2020"
"1677-235","Sodium hypochlorite","Bleach Disinfectant Cleaner","Ecolab Inc","Murine Norovirus; Poliovirus; Rhinovirus","1","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional","Yes","03/03/2020"
"1677-237","Hydrogen peroxide; Peroxyacetic acid (Peracetic acid)","Oxycide Daily Disinfectant Cleaner","Ecolab Inc","Feline calicivirus; Rhinovirus","3","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","Yes","03/03/2020"
"1677-238","Hydrogen peroxide","Peroxide Multi Surface Cleaner and Disinfectant","Ecolab Inc","Norovirus","2","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","Yes","03/03/2020"
"1677-249","Isopropanol (Isopropyl alcohol)","Klercide 70/30 IPA","Ecolab Inc","Rhinovirus","5","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional","Yes","03/03/2020"
"777-83","Sodium hypochlorite","Lysol® Brand Bleach Mold And Mildew Remover","Reckitt Benckiser LLC","Rhinovirus; Norovirus","0.5 (30 seconds)","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/03/2020"
"1839-220","Quaternary ammonium","SC-RTU Disinfectant Cleaner","Stepan Company","Poliovirus","5","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","03/03/2020"
"1839-248","Quaternary ammonium","Stepan Spray Disinfectant Concentrate","Stepan Company","Rhinovirus","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/03/2020"
"1839-83","Quaternary ammonium","Detergent Disinfectant Pump Spray","Stepan Company","Canine parvovirus","10","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","03/03/2020"
"4091-21","Quaternary ammonium","Condor 2","W.M. Barr & Company Inc","Rotavirus","5","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/03/2020"
"4091-22","Quaternary ammonium; Citric acid","Raptor 5","W.M. Barr & Company Inc","Rhinovirus","5","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/03/2020"
"42182-9","Quaternary ammonium; Ethanol (Ethyl alcohol)","Firebird F130","Microban Products Company","Poliovirus; Norovirus","5","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/03/2020"
"47371-129","Quaternary ammonium","Formulation HWS- 256","H&S Chemicals Division of Lonza LLC","Adenovirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/03/2020"
"47371-130","Quaternary ammonium","Formulation HWS-128","H&S Chemicals Division of Lonza LLC","Adenovirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/03/2020"
"47371-131","Quaternary ammonium","HWS-64","H&S Chemicals Division of Lonza LLC","Adenovirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/03/2020"
"47371-192","Quaternary ammonium","Formulation HWS-32","H&S Chemicals Division of Lonza LLC","Adenovirus","10","Dilutable","Hard Nonporous (HN)","Institutional; Residential","Yes","03/03/2020"
"56392-7","Sodium hypochlorite","Clorox Healthcare® Bleach Germicidal Cleaner Spray","Clorox Professional Products Company","Canine parvovirus; Feline Panleukopenia Virus; Hepatitis A Virus; Norovirus; Poliovirus; Rhinovirus","1","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional","Yes","03/03/2020"
"5813-105","Sodium hypochlorite","Clorox Multi Surface Cleaner + Bleach","The Clorox Company","Rhinovirus; Canine parvovirus; Feline panleukopenia Virus; Norovirus; Poliovirus","1","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Residential","Yes","03/03/2020"
"5813-110","Hydrogen peroxide","Clorox Pet Solutions Advanced Formula Disinfecting Stain & Odor Remover","The Clorox Company","Enterovirus D68; Norovirus; Rhinovirus","5","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/03/2020"
"5813-111","Sodium hypochlorite","Clorox Disinfecting Bleach2","The Clorox Company","Canine parvovirus; Feline parvovirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/03/2020"
"5813-114","Sodium hypochlorite","Clorox Performance Bleach1","The Clorox Company","Canine parvovirus; Feline parvovirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/03/2020"
"5813-115","Quaternary ammonium","Clorox Scentiva Bathroom Disinfecting Foam Cleaner","The Clorox Company","Rotavirus","5","Ready-to-use","Hard Nonporous (HN)","Residential","Yes","03/03/2020"
"5813-21","Sodium hypochlorite","Clorox Clean Up Cleaner + Bleach","The Clorox Company","Norovirus; Poliovirus","1","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/03/2020"
"5813-40","Quaternary ammonium","Clorox Disinfecting Bathroom Cleaner","The Clorox Company","Rhinovirus","10","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/03/2020"
"5813-79","Quaternary ammonium","Clorox Disinfecting Wipes","The Clorox Company","Rotavirus","4","Wipe","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/03/2020"
"5813-89","Sodium hypochlorite","Clorox Toilet Bowl Cleaner with Bleach","The Clorox Company","Rhinovirus; Rotavirus","10","Ready-to-use","Hard Nonporous (HN)","Institutional; Residential","Yes","03/03/2020"
"63761-10","Quaternary ammonium; Sodium carbonate peroxyhydrate","Sterilex Ultra Step","Sterilex","Feline calicivirus; Rotavirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","Yes","03/03/2020"
"63761-8","Quaternary ammonium; Hydrogen peroxide","Sterilex Ultra Disinfectant Cleaner Solution 1","Sterilex","Feline calicivirus","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","03/03/2020"
"675-54","Quaternary ammonium","Lysol® Brand Heavy Duty Cleaner Disinfectant Concentrate","Reckitt Benckiser LLC","Rotavirus","5","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional","Yes","03/03/2020"
"67619-12","Sodium hypochlorite","Clorox Healthcare® Bleach Germicidal Wipes","Clorox Professional Products Company","Canine parvovirus; Feline parvovirus","3","Wipe","Hard Nonporous (HN)","Healthcare; Institutional","Yes","03/03/2020"
"67619-16","Sodium hypochlorite","Clorox Commercial Solutions® Toilet Bowl Cleaner with Bleach1","Clorox Professional Products Company","Rotavirus; Rhinovirus 39","10","Ready-to-use","Hard Nonporous (HN)","Institutional; Residential","Yes","03/03/2020"
"67619-17","Sodium hypochlorite","Clorox Commercial Solutions® Clorox® Clean-Up Disinfectant Cleaner with Bleach1","Clorox Professional Products Company","Norovirus","5","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","03/03/2020"
"67619-21","Quaternary ammonium; Ethanol (Ethyl alcohol)","Clorox Commercial Solutions® Clorox® Disinfecting Spray","Clorox Professional Products Company","Coxsackie virus; Echovirus; Feline calicivirus; Hepatitis A Virus; Poliovirus","10","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/03/2020"
"67619-24","Hydrogen peroxide","Clorox Commercial Solutions® Hydrogen Peroxide Cleaner Disinfectant","Clorox Professional Products Company","Norovirus; Rhinovirus; Rotavirus","1","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","03/03/2020"
"67619-25","Hydrogen peroxide","Clorox Commercial Solutions® Hydrogen Peroxide Cleaner Disinfectant Wipes","Clorox Professional Products Company","Norovirus","2","Wipe","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","03/03/2020"
"67619-29","Ethanol (Ethyl alcohol)","Saginaw","Clorox Professional Products Company","Coxsackievirus; Hepatitis A Virus; Rhinovirus; Rotavirus","5","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","03/03/2020"
